OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
207,MARATHON,SR-32,Sardinia,OH,300,3.565667,39.0146670,-83.8096433
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.415667,,
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.025667,,
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999000,37.3779901,-84.3305118
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359000,29.2096405,-82.1846645
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.412333,29.2096405,-82.1846645
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039000,,
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179000,41.1448783,-87.4543669
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.982333,,
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729000,30.0328011,-89.9863175
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499000,,
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.325667,35.1698444,-90.1886029
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville,MD,165,3.899000,,
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls,MT,815,3.635667,,
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559000,41.9478823,-86.5640955
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399000,,
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,325,3.299000,41.9633038,-83.3536852
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,325,3.249000,41.9633038,-83.3536852
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,325,3.439000,41.9633038,-83.3536852
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,325,3.349000,41.9633038,-83.3536852
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe,MI,325,3.559000,41.9633038,-83.3536852
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499000,38.9550726,-87.4062190
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399000,39.2961392,-85.9581485
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229000,,
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.232333,,
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.255667,,
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599000,42.0929604,-72.5830204
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199000,38.9430282,-94.5969806
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.465667,41.1181606,-101.5834782
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard,UT,835,3.749000,41.4236279,-112.0518516
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469000,30.1039440,-81.5037768
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.990667,41.5758708,-87.1761455
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769000,,
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689000,,
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699000,,
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739000,,
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.315667,30.1453059,-81.5191669
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort,NY,12,3.749000,,
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort,NY,12,3.799000,,
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999000,41.5740929,-87.4769156
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.915667,,
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489000,,
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719000,40.2649445,-82.9243814
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699000,41.0100770,-81.8622222
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429000,39.9617305,-82.4912676
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg,OH,550,3.499000,41.5804215,-83.6066531
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.302333,35.4671058,-97.4742305
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899000,35.4349323,-97.2645893
425,Neighbors Express,"I-16, EXIT 51",Dublin,GA,85,3.299000,,
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324000,,
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.265667,37.9398853,-77.4661447
456,THE COUNTRY OASIS,US-24,Woodburn,IN,370,3.399000,,
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399000,,
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079000,,
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.262333,,
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259000,37.4729850,-105.8573588
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299000,32.4256352,-88.4480423
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina,ND,355,3.299000,,
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.975667,36.6906808,-101.4815700
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo,TX,693,3.299000,,
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749000,,
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999000,,
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439000,35.9915207,-83.9687946
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649000,,
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649000,,
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City,OH,430,3.179000,39.9847938,-81.4584523
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.265667,34.2628849,-83.8162877
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059000,,
546,PLAZA 30,US-30,Wanatah,IN,365,3.499000,,
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389000,41.3666710,-89.1521604
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589000,41.3666710,-89.1521604
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449000,41.3666710,-89.1521604
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289000,41.3666710,-89.1521604
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.207333,34.8566130,-92.4056858
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.830667,41.5722574,-87.4050414
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459000,,
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne,IN,370,3.899000,41.1189244,-85.1846908
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne,IN,370,3.879000,41.1189244,-85.1846908
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624000,,
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779000,45.5448190,-122.3883322
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.670667,41.6085553,-109.2308579
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399000,46.2214569,-119.7745722
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559000,46.2214569,-119.7745722
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964000,33.1761285,-87.4459837
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.225667,,
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.500667,41.1181492,-102.9502147
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599000,,
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359000,,
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.152333,41.8052539,-80.9476206
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.399490,,
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.396254,,
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.406950,,
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.406300,,
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.397224,,
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.398195,,
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379000,44.6296393,-123.0830369
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.985667,,
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.425667,35.9915207,-83.9687946
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.399490,,
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.593175,,
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.591148,,
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.601640,,
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.592161,,
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.602319,,
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499000,,
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549000,,
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.205667,,
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499000,,
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499000,,
692,BP,US-63,Ottumwa,IA,489,3.399000,,
739,Arco #364420,US-23,Greenup,KY,255,3.649000,,
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.172333,40.3855784,-104.6884200
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.015667,,
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489000,43.0085692,-89.9011407
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379000,42.3074030,-87.8770185
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499000,42.3074030,-87.8770185
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289000,42.3074030,-87.8770185
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499000,,
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499000,35.1578797,-90.1381380
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291000,35.1578797,-90.1381380
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.465667,33.2961169,-86.8122921
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.125667,,
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.032333,35.0723660,-92.4163182
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.392333,,
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959000,33.6614677,-114.2361319
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959000,33.6614192,-114.2364217
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.532333,43.1970640,-112.3649835
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.565667,,
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449000,39.7379292,-75.5193622
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399000,39.7379292,-75.5193622
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.562333,,
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259000,30.1814480,-82.6895467
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.244000,30.1814480,-82.6895467
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.607333,30.7186888,-85.1834057
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.432333,,
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.399000,,
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399000,33.4726006,-82.4964957
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399000,,
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.582333,,
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799000,42.6059001,-114.2096450
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819000,42.4217291,-87.9236542
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.879000,42.4217291,-87.9236542
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.779000,42.4217291,-87.9236542
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.769000,42.4217291,-87.9236542
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.249000,38.1439774,-88.9125195
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.399000,40.1239390,-87.7795284
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.499000,40.1239390,-87.7795284
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.599000,40.1239390,-87.7795284
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.499000,39.5907650,-89.6530398
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,375,3.959000,39.8214895,-85.9163739
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,375,3.959000,39.8214895,-85.9163739
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.759000,39.7945697,-85.5303671
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.199000,,
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599000,39.5085445,-85.7513404
